City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,codrington,-38.2667,141.9667,26.07,63,14,2.7,AU,1738566256
124,kununurra,-15.7667,128.7333,37.99,44,100,3.6,AU,1738566257
125,susuman,62.7833,148.1667,-42.98,99,71,0.66,RU,1738566233
126,akureyri,65.6835,-18.0878,0.96,93,75,3.09,IS,1738566259
127,kasama,-10.2129,31.1808,20.11,90,93,2.57,ZM,1738566075
128,kikwit,-5.041,18.8162,22.18,92,100,0.43,CD,1738566262
129,independence,39.0911,-94.4155,11.71,69,0,0.0,US,1738566035
130,salekhard,66.53,66.6019,-24.74,95,99,6.95,RU,1738566264
131,princeville,45.7668,-61.2985,-10.94,75,100,0.0,CA,1738566266
132,dolinsk,47.35,142.8,-8.13,96,100,1.91,RU,1738566267
133,blackmans bay,-43.0167,147.3167,31.4,36,92,2.13,AU,1738566268
134,fortaleza,-3.7227,-38.5247,28.07,78,40,5.66,BR,1738566143
135,juegang,32.3174,121.1855,4.8,47,94,7.0,CN,1738566270
136,magong,23.5654,119.5863,14.69,81,99,17.29,TW,1738566271
137,uliastay,47.7417,96.8444,-17.11,85,100,1.62,MN,1738566273
138,berezovyy,51.6667,135.7,-14.8,92,100,1.48,RU,1738566274
139,rajanpur,29.1035,70.325,23.52,14,0,2.65,PK,1738566275
140,mongo,12.1844,18.693,25.39,14,50,2.89,TD,1738566276
141,al bukayriyah,26.1442,43.6593,12.87,28,0,2.04,SA,1738566277
142,hadibu,12.65,54.0333,23.43,52,100,8.03,YE,1738566278
143,vilyuchinsk,52.9306,158.4028,-6.85,79,1,3.59,RU,1738566280
144,riverton,40.5219,-111.9391,12.27,46,0,7.72,US,1738566281
145,puerto ayora,-0.7393,-90.3518,24.19,98,99,0.91,EC,1738566282
146,pohang,36.0322,129.365,-0.16,39,0,8.73,KR,1738566284
147,san jose del cabo,23.0589,-109.6977,14.6,63,0,0.0,MX,1738566285
148,moyynkum,44.2914,72.9469,-1.29,60,0,11.21,KZ,1738566286
149,pisco,-13.7,-76.2167,22.03,78,0,1.54,PE,1738566288
150,las lomitas,-24.7096,-60.593,24.55,45,0,2.27,AR,1738566289
151,motygino,58.1831,94.7592,-22.54,88,64,2.24,RU,1738566290
152,salinopolis,-0.6136,-47.3561,24.67,91,100,4.36,BR,1738566291
153,bejaia,36.7559,5.0843,9.6,81,40,5.66,DZ,1738566292
154,nova vicosa,-17.8919,-39.3719,24.2,92,0,2.87,BR,1738566293
155,brookings,44.3114,-96.7984,-4.9,71,100,7.72,US,1738566134
156,bridgewater,44.3835,-64.5155,-9.62,80,100,0.99,CA,1738566028
157,ixtapa,20.7,-105.2,17.9,84,0,1.38,MX,1738566297
158,tadine,-21.55,167.8833,23.75,95,100,17.94,NC,1738566298
159,lebu,-37.6167,-73.65,12.82,93,19,3.56,CL,1738566102
160,mendefera,14.8872,38.8153,18.45,49,86,3.56,ER,1738566300
161,tual,-5.6667,132.75,27.03,80,100,10.94,ID,1738566302
162,kediri,-7.8167,112.0167,28.94,76,100,3.53,ID,1738566303
163,portland,45.5234,-122.6762,3.21,90,100,4.47,US,1738566278
164,deir ez-zor,35.3359,40.1408,12.99,49,100,0.85,SY,1738566305
165,kupang,-10.1667,123.5833,31.32,79,40,4.12,ID,1738566306
166,ust'-ilimsk,58.0006,102.6619,-24.92,90,90,1.36,RU,1738566307
167,guatrache,-37.6678,-63.5302,20.75,27,1,3.49,AR,1738566309
168,thunder bay,48.4001,-89.3168,-11.01,62,100,7.2,CA,1738566283
169,flying fish cove,-10.4217,105.6791,24.82,100,100,4.12,CX,1738566311
170,juan griego,11.0817,-63.9655,24.25,83,0,5.3,VE,1738566312
171,sao joao da barra,-21.6403,-41.0511,23.58,89,26,7.28,BR,1738566122
172,betio village,1.358,172.9211,26.02,88,27,6.68,KI,1738566314
173,valley city,46.9233,-98.0032,-12.71,66,100,4.12,US,1738566063
174,atafu village,-8.5421,-172.5159,28.51,65,6,6.85,TK,1738566317
175,vol'sk,52.0333,47.3833,0.64,91,100,1.88,RU,1738566318
176,peace river,56.2501,-117.286,-32.83,75,0,2.57,CA,1738566028
177,al bardiyah,31.7561,25.0865,15.44,63,100,2.01,LY,1738566320
178,mil'kovo,55.6078,37.7956,0.75,66,100,3.19,RU,1738566321
179,boali,4.8005,18.1275,30.3,18,99,3.31,CF,1738566323
180,los frentones,-26.4077,-61.4137,23.61,47,0,2.47,AR,1738566325
181,minot,48.2325,-101.2963,-19.94,84,100,8.75,US,1738566326
182,la passe,45.5549,-0.8967,3.64,85,0,2.46,FR,1738566328
183,grants,35.1473,-107.8514,-0.87,59,0,0.0,US,1738566329
184,kamyzyak,46.11,48.0736,2.99,93,100,3.0,RU,1738566330
185,palpa,-14.5336,-75.1856,22.03,72,100,1.24,PE,1738566331
186,port lincoln,-34.7333,135.8667,29.09,49,100,3.15,AU,1738566332
187,mejit,10.2753,170.8646,26.48,76,7,10.67,MH,1738566333
188,pechora,65.1472,57.2244,-22.19,90,7,0.7,RU,1738566335
189,callao,-12.0667,-77.15,23.73,83,20,3.6,PE,1738566068
190,sandnessjoen,66.0217,12.6316,-0.88,51,0,2.57,NO,1738566338
191,orkney,-26.9802,26.6727,27.52,42,100,2.22,ZA,1738566339
192,siyabuswa,-25.1132,29.0445,26.57,65,85,2.53,ZA,1738566340
193,happy valley-goose bay,53.3168,-60.3315,-21.83,59,20,3.6,CA,1738566341
194,yaren,-0.5472,166.916,26.85,81,100,6.58,NR,1738566343
195,okhotsk,59.3833,143.3,-23.12,83,2,6.04,RU,1738566344
196,hammerfest,70.6634,23.6821,-8.75,53,0,6.69,NO,1738566345
197,le lavandou,43.137,6.366,8.9,86,0,4.63,FR,1738566346
198,zemetchino,53.4973,42.6163,-1.14,90,100,3.12,RU,1738566348
199,nyrob,60.733,56.7202,-6.42,94,100,4.48,RU,1738566350
200,new norfolk,-42.7826,147.0587,32.06,23,34,3.73,AU,1738566351
201,puerto baquerizo moreno,-0.9,-89.6,23.79,88,22,0.58,EC,1738566352
202,emerald,-23.5333,148.1667,22.97,100,100,2.17,AU,1738566353
203,saldanha,-33.0117,17.9442,19.76,72,0,4.38,ZA,1738566355
204,ueckermunde,53.7379,14.0447,-0.88,97,75,1.54,DE,1738566356
205,hithadhoo,-0.6,73.0833,27.91,71,70,2.04,MV,1738566357
206,tralee,52.2704,-9.7026,10.14,87,100,4.89,IE,1738566358
207,san patricio,28.017,-97.5169,17.97,94,0,3.31,US,1738566359
208,amurzet,47.6967,131.0981,-14.21,79,100,3.29,RU,1738566360
209,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,35,0,1.0,RU,1738566106
210,newman,37.3138,-121.0208,13.91,80,100,3.13,US,1738566363
211,mungwi,-10.1732,31.3694,20.09,90,96,2.51,ZM,1738566364
212,bodo,67.28,14.405,-3.98,46,0,13.38,NO,1738566365
213,richards bay,-28.783,32.0377,26.94,76,100,8.28,ZA,1738566366
214,kerikeri,-35.2268,173.9474,19.32,73,56,2.03,NZ,1738566367
215,dudinka,69.4058,86.1778,-25.84,93,100,2.01,RU,1738566369
216,sisimiut,66.9395,-53.6735,-20.87,97,85,2.27,GL,1738566370
217,port elizabeth,-33.918,25.5701,24.62,65,0,1.34,ZA,1738566261
218,klyuchi,52.2667,79.1667,-5.22,94,88,2.25,RU,1738566372
219,abbeville,50.1,1.8333,0.95,89,0,1.96,FR,1738566144
220,karkira,36.9292,6.5856,11.14,91,100,9.24,DZ,1738566374
